favorite_count,retweet_count,tweet_id
37985,8302,892420643555336193
32615,6132,892177421306343426
24553,4058,891815181378084864
41324,8434,891689557279858688
39503,9147,891327558926688256
19848,3039,891087950875897856
11598,2015,890971913173991426
64077,18411,890729181411237888
27259,4177,890609185150312448
31277,7202,890240255349198849
30069,7160,890006608113172480
27265,4860,889880896479866881
47168,9801,889665388333682689
26618,4420,889638837579907072
14816,2194,889531135344209921
24754,5244,889278841981685760
28542,4397,888917238123831296
25060,4184,888804989199671297
19437,3463,888554962724278272
21328,3409,888078434458587136
29583,5267,887705289381826560
45369,11411,887517139158093824
67668,17745,887473957103951883
33019,10163,887343217045368832
29979,5823,887101392804085760
34454,7591,886983233522544640
11825,3205,886736880519319552
22000,4357,886680336477933568
20784,3126,886366144734445568
116,4,886267009285017600
27454,6140,886258384151887873
0,105,886054160059072513
32012,6616,885984800019947520
35283,6280,885528943205470208
20029,3673,885518971528720385
0,18131,885311592912609280
21493,4284,885167619883638784
75847,17839,884925521741709313
27378,5478,884876753390489601
23821,4583,884562892145688576
26473,5528,884441805382717440
71587,20040,884247878851493888
19952,2920,884162670584377345
21481,3373,883838122936631299
45030,9705,883482846933004288
22252,3618,883360690899218434
36442,6516,883117836046086144
23489,3836,882992080364220416
27750,4800,882762694511734784
27396,5941,882627270321602560
44065,11337,882268110199369728
28792,4856,882045870035918850
23841,3316,881906580714921986
49611,10435,881666595344535552
124,7,881633300179243008
48473,15602,881536004380872706
22646,5066,881268444196462592
16694,2724,880935762899988482
20858,3738,880872448815771648
27979,6140,880465832366813184
26524,4122,880221127280381952
27098,4258,880095782870896641
21914,3421,879862464715927552
304,10,879674319642796034
22979,3111,879492040517615616
103841,43299,879415818425184262
16473,3049,879376492567855104
0,6684,879130579576475649
22115,4618,879050749262655488
18620,2641,879008229531029506
19037,4047,878776093423087618
29689,7058,878604707211726852
0,1264,878404777348136964
0,6522,878316110768087041
7596,1264,878281511006478336
41250,6684,878057613040115712
78211,18707,877736472329191424
0,79,877611172832227328
22315,3734,877556246731214848
26887,5085,877316821321428993
26635,5476,877201837425926144
20326,3273,876838120628539392
23099,4557,876537666061221889
18427,2355,876484053909872640
27424,4599,876120275196170240
24757,4214,875747767867523072
21554,4842,875144289856114688
26940,5949,875097192612077568
25031,4640,875021211251597312
27348,4559,874680097055178752
0,14470,874434818259525634
25619,4035,874296783580663808
22297,3897,874057562936811520
34007,10242,874012996292530176
23815,3883,873580283840344065
0,1564,873337748698140672
7118,1564,873213775632977920
26921,5340,872967104147763200
14495,3641,872820683541237760
20488,3642,872620804844003328
40079,8917,872486979161796608
33713,6248,872261713294495745
33929,8031,872122724285648897
37414,11037,871879754684805121
19999,3442,871762521631449091
19942,3423,871515927908634625
0,5649,871166179821445120
20666,5460,871102520638267392
22400,3783,871032628920680449
33227,6156,870804317367881728
119,3,870726314365509632
12272,2625,870656317836468226
81816,26037,870374049280663552
21600,4127,870308999962521604
36278,8302,870063196459192321
41996,9975,869772420881756160
27969,6316,869702957897576449
15830,3124,869596645499047938
20273,3770,869227993411051520
65075,14430,868880397819494401
0,2096,868639477480148993
26542,5285,868622495443632128
10054,2096,868552278524837888
24030,4175,867900495410671616
33751,7336,867774946302451713
16019,2505,867421006826221569
0,121,867072653475098625
32065,7872,867051520902168576
19979,4819,866720684873056260
19241,3487,866686824827068416
121769,35362,866450705531457537
52357,14470,866334964761202691
0,8393,866094527597207552
25553,5638,865718153858494464
26399,5024,865359393868664832
27931,7721,865006731092295680
32238,8742,864873206498414592
14605,3050,864279568663928832
30125,8988,864197398364647424
20609,4169,863907417377173506
15304,4211,863553081350529029
0,2468,863471782782697472
23830,5292,863432100342583297
2269,97,863427515083354112
8775,1113,863079547188785154
8533,2468,863062471531167744
19187,5143,862831371563274240
17082,3556,862722525377298433
20575,5006,862457590147678208
74642,23537,862096992088072192
36194,10832,861383897657036800
17255,4203,861288531465048066
16765,3840,861005113778896900
0,2185,860981674716409858
0,835,860924035999428608
7544,2185,860563773140209665
23740,5356,860524505164394496
18384,3520,860276583193509888
16763,5933,860184849394610176
0,31337,860177593139703809
19649,4151,859924526012018688
15499,3564,859851578198683649
18709,1602,859607811541651456
90446,30710,859196978902773760
34093,13857,859074603037188101
0,8300,858860390427611136
15652,3542,858843525470990336
21680,4935,858471635011153920
15860,2968,858107933456039936
16277,2636,857989990357356544
34596,10862,857746408056729600
5967,1685,857393404942143489
20220,4619,857263160327368704
230,18,857214891891077121
0,176,857062103051644929
19145,4105,857029823797047296
0,10946,856602993587888130
16452,2952,856543823941562368
11989,1933,856526610513747968
0,699,856330835276025856
526,17,856288084350160898
28093,6493,856282028240666624
348,28,855862651834028034
5110,1057,855860136149123072
12010,2170,855857698524602368
46088,18222,855851453814013952
27005,5592,855818117272018944
30384,8454,855459453768019968
0,6167,855245323840757760
0,47,855138241867124737
23230,6308,854732716440526848
29826,7097,854482394044301312
19249,4854,854365224396361728
32570,7743,854120357044912130
16519,3266,854010172552949760
29167,5998,853760880890318849
35580,10530,853639147608842240
15869,3709,853299958564483072
0,2087,852936405516943360
9268,1912,852912242202992640
15270,2246,852672615818899456
16749,3658,852553447878664193
33923,10293,852311364735569921
20498,7088,852226086759018497
11756,1657,852189679701164033
0,10042,851953902622658560
0,23,851861385021730816
16631,3622,851591660324737024
24907,7403,851464819735769094
21253,5975,851224888060895234
31868,9698,850753642995093505
13434,2740,850380195714523136
3536,350,850333567704068097
16811,4014,850145622816686080
21056,5128,850019790995546112
31380,7975,849776966551130114
0,5198,849668094696017920
16365,3297,849412302885593088
11780,1985,849336543269576704
43801,8942,849051919805034497
26013,4537,848690551926992896
25556,4829,848324959059550208
8439,782,848213670039564288
16858,3227,848212111729840128
0,3430,847978865427394560
0,449,847971574464610304
24304,5373,847962785489326080
5657,1416,847842811428974592
7255,447,847617282490613760
19422,3576,847606175596138505
21171,4525,847251039262605312
20637,6175,847157206088847362
22161,3373,847116187444137987
20778,4141,846874817362120707
46253,12246,846514051647705089
14616,3258,846505985330044928
32841,9587,846153765933735936
32024,10436,846139713627017216
16580,3063,846042936437604353
30382,9238,845812042753855489
26054,5058,845677943972139009
7920,1912,845397057150107648
24200,5700,845306882940190720
0,8103,845098359547420673
14139,2732,844979544864018432
15694,3406,844973813909606400
40226,10946,844704788403113984
17125,3328,844580511645339650
14167,2332,844223788422217728
15738,3105,843981021012017153
22270,4912,843856843873095681
17559,2924,843604394117681152
22370,6419,843235543001513987
15834,3823,842846295480000512
7018,1355,842765311967449089
18835,3723,842535590457499648
25477,6167,842163532590374912
14586,3223,842115215311396866
0,16301,841833993020538882
26714,8246,841680585030541313
13152,3910,841439858740625411
20604,5791,841320156043304961
16502,4994,841314665196081154
23845,5649,841077006473256960
0,1868,840761248237133825
0,17215,840728873075638272
186,2,840698636975636481
12824,1043,840696689258311684
9358,1868,840632337062862849
17178,4845,840370681858686976
20124,6113,840268004936019968
14012,2447,839990271299457024
28751,8300,839549326359670784
0,154,839290600511926273
28433,6981,839239871831150596
20500,4242,838952994649550848
11674,2217,838921590096166913
0,36,838916489579200512
0,11795,838831947270979586
11417,1413,838561493054533637
23608,5140,838476387338051585
0,10771,838201503651401729
1757,354,838150277551247360
147,0,838085839343206401
18436,3374,838083903487373313
35777,8393,837820167694528512
4013,471,837482249356513284
13384,2449,837471256429613056
22117,5666,837366284874571778
16772,2557,837110210464448512
13318,2461,836989968035819520
20127,4936,836753516572119041
13213,2376,836677758902222849
0,585,836648853927522308
0,29601,836397794269200385
15433,3174,836380477523124226
22267,4594,836260088725786625
20007,4595,836001077879255040
0,8726,835685285446955009
18654,3881,835574547218894849
0,1825,835536468978302976
0,22535,835309094223372289
17217,3218,835297930240217089
8109,1825,835264098648616962
2191,78,835246439529840640
27401,6151,835172783151792128
23553,3237,835152434251116546
11361,1768,834931633769889797
22230,5891,834786237630337024
14350,2722,834574053763584002
0,11445,834477809192075265
10079,1800,834458053273591808
21628,5131,834209720923721728
16532,3903,834167344700198914
10541,2280,834089966724603904
13710,2380,834086379323871233
14073,2581,833863086058651648
18883,4007,833826103416520705
0,231,833732339549220864
21744,3448,833722901757046785
15596,2215,833479644947025920
21204,5198,833124694597443584
13955,2380,832998151111966721
0,40,832769181346996225
17679,3889,832757312314028032
12478,3155,832682457690300417
3070,559,832645525019123713
16648,2998,832636094638288896
12537,2390,832397543355072512
18032,3430,832369877331693569
11880,2511,832273440279240704
0,6658,832215909146226688
0,10097,832215726631055365
70,2,832088576586297345
0,10453,832040443403784192
18738,4989,832032802820481025
25218,6599,831939777352105988
360,35,831926988323639298
29083,7021,831911600680497154
10987,1951,831670449226514432
7555,2087,831650051525054464
9458,2470,831552930092285952
9692,1645,831322785565769729
6868,1202,831315979191906304
12342,2626,831309418084069378
12537,2208,831262627380748289
8382,1612,830956169170665475
70410,18131,830583320585068544
0,6147,830173239259324417
10343,3239,830097400375152640
0,5413,829878982036299777
12878,2105,829861396166877184
33443,11445,829501995190984704
11026,2192,829449946868879360
36455,10042,829374341691346946
25802,7996,829141528400556032
55830,17517,829011960981237760
0,3668,828801551087042563
26930,6332,828770345708580865
38576,12121,828708714936930305
10007,1457,828650029636317184
